"Nodo","Fecha","Hora","pml"
"05AEP-115","2024-12-05","3","420.59"
"05AEP-115","2024-12-05","4","414.71"
"05AEP-115","2024-12-05","5","404.68"
"05AEP-115","2024-12-05","6","407.04"
"05AEP-115","2024-12-05","7","434.9"
"05AEP-115","2024-12-05","8","372.57"
"05AEP-115","2024-12-05","9","386.03"
"05AEP-115","2024-12-05","10","348.41"
"05AEP-115","2024-12-05","11","276.69"
"05AEP-115","2024-12-05","12","2.18"
"05AEP-115","2024-12-05","13","7.06"
"05AEP-115","2024-12-05","14","24.35"
"05AEP-115","2024-12-05","15","7.46"
"05AEP-115","2024-12-05","16","4.52"
"05AEP-115","2024-12-05","17","332.62"
"05AEP-115","2024-12-05","18","524.34"
"05AEP-115","2024-12-05","19","806.36"
"05AEP-115","2024-12-05","20","600.75"
"05AEP-115","2024-12-05","21","504.83"
"05AEP-115","2024-12-05","22","469.06"
"05AEP-115","2024-12-05","23","463.8"
"05AEP-115","2024-12-05","24","432.76"
"05AEP-115","2024-12-06","1","486.79"
"05AEP-115","2024-12-06","2","442.5"
"05AEP-115","2024-12-06","3","434.71"
"05AEP-115","2024-12-06","4","433.3"
"05AEP-115","2024-12-06","5","433.31"
"05AEP-115","2024-12-06","6","436.08"
"05AEP-115","2024-12-06","7","506.79"
"05AEP-115","2024-12-06","8","532.91"
"05AEP-115","2024-12-06","9","482.06"
"05AEP-115","2024-12-06","10","393.12"
"05AEP-115","2024-12-06","11","384.77"
"05AEP-115","2024-12-06","12","384.75"
"05AEP-115","2024-12-06","13","385.72"
"05AEP-115","2024-12-06","14","427.8"
"05AEP-115","2024-12-06","15","425.27"
"05AEP-115","2024-12-06","16","429.57"
"05AEP-115","2024-12-06","17","418.27"
"05AEP-115","2024-12-06","18","509.47"
"05AEP-115","2024-12-06","19","532.58"
"05AEP-115","2024-12-06","20","562.19"
"05AEP-115","2024-12-06","21","541.86"
"05AEP-115","2024-12-06","22","556.33"
"05AEP-115","2024-12-06","23","530.42"
"05AEP-115","2024-12-06","24","479.43"
"05AEP-115","2024-12-07","1","490.43"
"05AEP-115","2024-12-07","2","477.25"
"05AEP-115","2024-12-07","3","439.19"
"05AEP-115","2024-12-07","4","438.01"
"05AEP-115","2024-12-07","5","434.63"
"05AEP-115","2024-12-07","6","438.08"
"05AEP-115","2024-12-07","7","458.55"
